property_name,link,society,price,areaWithType,address,floorNumAllowed,noOfOpenSides,possession,nearbyLocations,description,features,rating,property_id
Residential land / Plot in Sector-33 Sohna,https://www.99acres.com/residential-land-plot-for-sale-in-central-park-flower-valley-sector-33-sohna-gurgaon-242-sq-yard-spid-Q69572358,Central Park Flower Valley,3.59 Crore,(202 sq.m.) Plot Area,"Sector-33 Sohna, Gurgaon, Haryana",,1,Immediate,"['Golf Course Extension Rd', 'Rajiv Chowk - Sohna Highway', 'KMP corridor', 'Marigold Secondary School', 'Alpine Convent School', 'The Millenium School', 'GD Goenka University', 'Medanta Hospital', 'Alpine Hospital', 'Pushpanjali Hospital', 'IGI Airport', 'Country Inn', 'Westin', 'Central Park Resorts', 'De Adventure Park']","Transparent deal party meeting , excellent location","[['Maintenance Staff', 'Rain Water Harvesting']]",[''],Q69572358
Residential land / Plot in Sector 42 Gurgaon,https://www.99acres.com/residential-land-plot-for-sale-in-sector-42-gurgaon-502-sq-yard-spid-U70022240,,8.38 Crore,(420 sq.m.) Plot Area,"Sector 42 Gurgaon, Gurgaon, Haryana",,1,,"['Sector 42-43 metro station', 'Sector 53-54 metro station', 'New Life Church', 'Hanuman Mandir', 'Icici bank ATM', 'Rbs ATM', 'Indusind bank ATM', 'Citi bank ATM', 'Icici bank ATM', 'Hdfc ATM', 'The Dental Lounge', 'Marwah Clinic', 'Paras Hospital Gurgaon', 'Arihant Hospital', 'Gupta', 'Sikka Maternity And Surgical Center', 'Guardian Pharmacy', 'Chikitsa', 'Apollo Pharmacy', 'HCG CNG Station', 'Hdfc bank & atm', 'Axis bank', 'Icici bank', 'Hdfc bank', 'Kotak mahindra bank', 'Indusind bank', 'State bank of india', 'Starbucks', 'Shophouse by Kylin', ""Carl's Jr."", 'Clock tower', 'Sagar Ratna', 'Cafe Tonini', 'Naivedyam Restaurant', 'Burger Singh', 'Bikanerwala', 'Wat-a-Burger', 'Food Court', 'Nowhere Brewpub and cafe', 'The Chicken Boat', 'Fat', 'Iilm University', 'IILM', 'Suncity School']",Property for sale in sector 42 gurgaon. Ready to move units. If you are looking at plots. Please contact us. For more queris. Seriously interested buyer please contact. Brokers the genuinely excuses,"[['Maintenance Staff', 'Water Storage', 'Rain Water Harvesting']]",[''],U70022240
Residential land / Plot in New Palam Vihar Phase 2,https://www.99acres.com/residential-land-plot-for-sale-in-new-palam-vihar-phase-2-gurgaon-200-sq-yard-spid-X69437474,,1 Crore,(167 sq.m.) Plot Area,"New Palam Vihar Phase 2, Gurgaon, Haryana",0 Floors,1,Immediate,"['Palam Vihar Vyapar kendra', 'Palam triangle', 'Ram Mandir', 'Kalyan Hospital Gurgaon', 'Metro Hospital and Heart Institute Gurgaon', 'Chirag Hospital Pvt. Ltd', ""DR KAPOOR'S Dental Care and Implant Centre"", 'R K Hospital Gurgaon', 'Axis bank', 'Big Cinemas', ""McDonald's"", 'Cafe Coffee Day', 'Pizza Hut', ""Domino's Pizza"", 'Moti Mahal', 'Pind Baluchi', 'Chiranjiv Bharati School', 'Masti ki Pathshala Teach India', 'Palam vihar railway station']",Plot for sale in new palam vihar phase 2 e block,[''],[''],X69437474
Residential land / Plot in New Palam Vihar Phase 1,https://www.99acres.com/residential-land-plot-for-sale-in-new-palam-vihar-phase-1-gurgaon-150-sq-yard-spid-S69436784,,75 Lac,(125 sq.m.) Plot Area,"New Palam Vihar Phase 1, Gurgaon, Haryana",0 Floors,1,Immediate,"['Palam Vihar Vyapar kendra', 'Palam triangle', 'Ram Mandir', 'Kalyan Hospital Gurgaon', 'Chirag Hospital Pvt. Ltd', 'R K Hospital Gurgaon', 'Bhardwaj Hospital', 'Jiya Clinic', 'Dr. Mittal Clinic', ""Dr. Anurag's Child Care Clinic"", 'Metro Hospital and Heart Institute Gurgaon', 'Yashroop Medical Centre', 'Sneh Hospital Gurgaon', 'Dr. Hitesh Dawar', ""DR KAPOOR'S Dental Care and Implant Centre"", 'Dr. Sindhu Clinic', 'Axis bank', 'Big Cinemas', ""McDonald's"", 'Moti Mahal', 'Cafe Coffee Day', 'Pind Baluchi', 'Pizza Hut', ""Domino's Pizza"", 'Om Sweets', 'Chiranjiv Bharati School', 'Masti ki Pathshala Teach India', 'Gurgaon railway station', 'Gurgaon railway station', 'Gurgaon railway station', 'Palam vihar railway station']",Plot for sale in new palam vihar phase 1 m block gurgaon,[''],[''],S69436784
Residential land / Plot in Sector 88A Gurgaon,https://www.99acres.com/residential-land-plot-for-sale-in-india-rashtra-sector-88-a-gurgaon-200-sq-yard-spid-A69844398,India Rashtra,2.3 Crore,(167 sq.m.) Plot Area,"Sector 88A Gurgaon, Gurgaon, Haryana",,2,,"['The Esplanade Mall', 'Omaxe Gurgaon Mall', 'Dwarka Expy/Northern Peripheral Rd', 'Dwarka expressway Basai crossing', 'Euro Intl School, Sector 37D, Gurugram', 'SGT University', 'The NorthCap University', 'Sethi Hospital', 'Park Hospital', 'Indira Gandhi Intl Airport', 'Garhi Harsaru Junction']","India rashtra, a land estate situated in sector 88a, gurgaon is a residential development of raheja developers. It is spanned over a wide area and is approved by haryana rera. The project is built with all essential amenities and is in close vicinity to all necessities.","[['Maintenance Staff', 'Water Storage', 'Rain Water Harvesting']]",[''],A69844398
Residential land / Plot in Sector 88A Gurgaon,https://www.99acres.com/residential-land-plot-for-sale-in-vatika-express-city-sector-88-a-gurgaon-200-sq-yard-spid-Y69820726,Vatika Express City,2.13 Crore,(167 sq.m.) Plot Area,"E Block, Sector 88A Gurgaon, Gurgaon, Haryana",,2,,"['The Esplanade Mall', 'NH 352W', 'Euro International School', 'SGT University', 'Shri Balaji’s Multispeciality Hospital', 'Indira Gandhi Intl Airport']","Vatika express city in sector 88a, gurgaon is a ready-To-Move housing society. It offers apartments in varied budget range. These units are a perfect combination of comfort and style, specifically designed to suit your requirements and conveniences. There are 3bhk apartments available in this project. This housing society is now ready to be called home as families have started moving in. Check out some of the features of vatika express city housing society:*spread over an area of 300 acres, vatika express city is one of the spacious housing societies in the gurgaon region. With all the basic amenities available, vatika express city fits into your budget and your lifestyle.*sector 88a has good connectivity to some of the important areas in the proximity such as nh 352w, euro international school and the esplanade mall and so on.","[['Feng Shui / Vaastu Compliant', 'Maintenance Staff', 'Water Storage', 'Rain Water Harvesting']]",[''],Y69820726
Residential land / Plot in Maruti Kunj,https://www.99acres.com/residential-land-plot-for-sale-in-mrs-16-acres-maruti-kunj-gurgaon-100-sq-yard-spid-Y70188756,MRS 16 Acres,30 Lac,(84 sq.m.) Plot Area,"A-35, Maruti Kunj, Gurgaon, Haryana",4 Floors,1,Immediate,,This property is good location,"[['Feng Shui / Vaastu Compliant', 'Maintenance Staff']]","[['Environment4 out of 5', 'Lifestyle4 out of 5', 'Connectivity4 out of 5', 'Safety4 out of 5']]",Y70188756
Residential land / Plot in Defence Colony,https://www.99acres.com/residential-land-plot-for-sale-in-mrs-16-acres-defence-colony-gurgaon-200-sq-yard-spid-O70188692,MRS 16 Acres,80 Lac,(167 sq.m.) Plot Area,"A-62, Defence Colony, Gurgaon, Haryana",4 Floors,1,Immediate,"['Iffco chowk metro station', 'Citi bank ATM', 'Punjab national bank ATM', 'State bank of india ATM', 'Hdfc bank ATM', 'Hsbc bank ATM', 'Icici bank ATM', 'Punjab national bank ATM', 'Sangwan Hospital Gurgaon', 'Thukral Hospital', 'Apollo Cradle Hospital Gurgaon', 'Nagpal Nursing Home Gurgaon', 'Privat Hospital', 'Umkal Hospital', 'Community Center Sukhrali', 'Sector-14 Market', 'Catholic syrian bank', 'Karur vysay bank', 'Oriental bank of commerce', 'Standard chartered bank', 'Hdfc bank', 'Icici bank', 'Swagath', 'distillery', 'Walking Street', 'Gung the palace Korean restaurant', 'ADDA', 'Ardor 29', 'Cafe Coffee Day', 'KFC', 'Gravity Space Bar', 'Black Mambaa', 'Tocpao', 'Spaghetti Kitchen & Bar', 'Pizza Hut', 'Bikanervala', ""Hops 'N' Brew"", 'Dhabba', ""Domino's Pizza"", 'Gola Sizzles', 'The Oriental Bloom Chinese and Thai', 'Zura', ""McDonald's"", 'Park Baluchi', 'MoB Ministory of Beer', 'Beer & Whisky Bar', 'Roots', 'Management Development Institute']",This property is good location,"[['Feng Shui / Vaastu Compliant', 'Maintenance Staff']]",[''],O70188692
Residential land / Plot in Maruti Kunj,https://www.99acres.com/residential-land-plot-for-sale-in-mrs-16-acres-maruti-kunj-gurgaon-100-sq-yard-spid-K69804762,MRS 16 Acres,17 Lac,(84 sq.m.) Plot Area,"A-26, Maruti Kunj, Gurgaon, Haryana",4 Floors,1,Immediate,,This property is good location,"[['Feng Shui / Vaastu Compliant', 'Maintenance Staff']]","[['Environment4 out of 5', 'Lifestyle4 out of 5', 'Connectivity4 out of 5', 'Safety4 out of 5']]",K69804762
Residential land / Plot in Sector 46 Gurgaon,https://www.99acres.com/residential-land-plot-for-sale-in-sector-46-gurgaon-161-sq-yard-spid-U69721514,,2.67 Crore,(135 sq.m.) Plot Area,"Sector 46 Gurgaon, Gurgaon, Haryana",,1,Immediate,"['Axis bank ATM', 'State bank of india ATM', 'Standard chartered ATM', 'Icici bank ATM', 'Sukhmani Hospital Pvt. Ltd', 'Dispencery', ""DR AKRAM JAWED'S THE UPPER LIMB CLINIC"", 'Meher Clinic', 'Medanta', 'Park Hospital Gurgaon', 'Vishesh Dental', 'Bones Clinic - Orthopaedics', 'Neelkanth Health Care', 'Best Urologist Atcomplete Family Clinic', 'Samvit Health Care', 'Wellness Eye Centre', 'Dr. Aruna Kalra', 'Dr. Naresh Pandita', 'Dr. Anuj Sharma', 'Wembley estate club', 'Pernod Ricard Charitable Dispensary', 'Gardian Pharmacy', 'Apollo Pharmacy', 'Gardian Pharmacy', 'Genius', 'India Oil', 'Hdfc bank', 'Hdfc bank', 'SRS Cinemas', 'Raj Restaurant', 'Haldiram', 'KFC', 'Om Sweets', 'Fast food', 'Fast Food', 'Bar and restaurant', 'Madison and Pike', 'Manav Rachna School', 'Amity Global School', 'Delhi Public School Primary Section', 'St. Angels Sr', 'Gurugram University', 'St. Angels Jr', 'CR Model Public School', 'Kamla International', 'School of Inspired Leadership SOIL', 'Manav Rachna Swimming Pool']","Available huda plot for sale 161 yards park facing plot in sec 46, gurgaon. Call for more information.We have maltiple option all sizes","[['Feng Shui / Vaastu Compliant', 'Rain Water Harvesting']]","[['Environment4 out of 5', 'Lifestyle4 out of 5', 'Connectivity5 out of 5', 'Safety4 out of 5']]",U69721514
Residential land / Plot in Sector 46 Gurgaon,https://www.99acres.com/residential-land-plot-for-sale-in-sector-46-gurgaon-203-sq-yard-spid-L69721188,,4.05 Crore,(170 sq.m.) Plot Area,"Sector 46 Gurgaon, Gurgaon, Haryana",,1,,"['Axis bank ATM', 'State bank of india ATM', 'Standard chartered ATM', 'Icici bank ATM', 'Sukhmani Hospital Pvt. Ltd', 'Dispencery', ""DR AKRAM JAWED'S THE UPPER LIMB CLINIC"", 'Meher Clinic', 'Medanta', 'Park Hospital Gurgaon', 'Vishesh Dental', 'Bones Clinic - Orthopaedics', 'Neelkanth Health Care', 'Best Urologist Atcomplete Family Clinic', 'Samvit Health Care', 'Wellness Eye Centre', 'Dr. Aruna Kalra', 'Dr. Naresh Pandita', 'Dr. Anuj Sharma', 'Wembley estate club', 'Pernod Ricard Charitable Dispensary', 'Gardian Pharmacy', 'Apollo Pharmacy', 'Gardian Pharmacy', 'Genius', 'India Oil', 'Hdfc bank', 'Hdfc bank', 'SRS Cinemas', 'Raj Restaurant', 'Haldiram', 'KFC', 'Om Sweets', 'Fast food', 'Fast Food', 'Bar and restaurant', 'Madison and Pike', 'Manav Rachna School', 'Amity Global School', 'Delhi Public School Primary Section', 'St. Angels Sr', 'Gurugram University', 'St. Angels Jr', 'CR Model Public School', 'Kamla International', 'School of Inspired Leadership SOIL', 'Manav Rachna Swimming Pool']","Huda plot , 204 sqyd plot available for sale
* near to huda market
* best pocket for residential and rental purpose
* best for investment we have multiple we have multiple options all sizes
Call for site visit and more options","[['Feng Shui / Vaastu Compliant', 'Water Storage', 'Rain Water Harvesting']]","[['Environment4 out of 5', 'Lifestyle4 out of 5', 'Connectivity5 out of 5', 'Safety4 out of 5']]",L69721188
Residential land / Plot in Sector 45 Gurgaon,https://www.99acres.com/residential-land-plot-for-sale-in-sector-45-gurgaon-23-sq-yard-spid-U69714172,,3.8 Crore,(19 sq.m.) Plot Area,"Sector 45 Gurgaon, Gurgaon, Haryana",,1,Immediate,"['Huda city centre metro station', 'Axis bank ATM', 'State bank of india ATM', 'Standard chartered ATM', 'Hdfc bank ATM', 'Icici ATM', 'Citi bank ATM', 'Axis bank ATM', 'Hdfc ATM', 'Hdfc ATM', 'Icici bank ATM', 'Axis bank ATM', 'Dispencery', 'Fortis Memorial Research Institute Fortis Vivekanand Hospital', 'Dr. Naval Mendiratta', 'Arihant Hospital', 'Gupta', 'Shivam Hospital Gurgaon', 'Sukhmani Hospital Pvt. Ltd', 'Dr. Kutbuddin Akbary', 'Paras Hospital Gurgaon', 'Centre For Sight Gurgaon Sector 29', 'Pernod Ricard Charitable Dispensary', 'City Medical', 'Gardian Pharmacy', 'Gardian Pharmacy', 'Bharat petroleum', 'Hdfc bank', 'Hdfc bank', 'Icici bank', 'Raj Restaurant', 'PWO house', 'Fast food', 'Fast Food', 'Bar and restaurant', 'Om Sweets', 'Balaji Vegetarian Paradise', 'St. Angels Jr', 'St. Angels Sr', 'School of Inspired Leadership SOIL', 'Manav Rachna School', 'Amity Global School', 'Stones2milestones', 'CR Model Public School', 'Delhi Public School Primary Section', 'Gurugram University', 'Manav Rachna Swimming Pool', 'Ncr library']",Avl plot for sale huda plot its a residential plot located in sector 45 gurgaon near huda city center.We have multiple options all sizes,"[['Feng Shui / Vaastu Compliant', 'Water Storage', 'Rain Water Harvesting']]","[['Environment4 out of 5', 'Lifestyle4 out of 5', 'Connectivity5 out of 5', 'Safety4 out of 5']]",U69714172
Residential land / Plot in Sector 57 Gurgaon,https://www.99acres.com/residential-land-plot-for-sale-in-sector-57-gurgaon-263-sq-yard-spid-T69710184,,4.57 Crore,(220 sq.m.) Plot Area,"0001, Sector 57 Gurgaon, Gurgaon, Haryana",,1,,"['Radhakrishna Shani Mandir', 'Sanatan Dharm Mandir', 'State bank ATM', 'Icici bank ATM', 'Standard chartered ATM', 'Vatsalya Clinic', 'Anand Hospital Gurgaon', 'Kriti Hospital', 'Surgicare Hospital Gurgaon', 'pracksht hospital', 'Meher Clinic', 'Bones Clinic - Orthopaedics', 'Vishesh Dental', 'Park Hospital Gurgaon', 'Neelkanth Health Care', 'Dr. Naresh Pandita', 'Arihant Hospital', 'Dr. Anuj Sharma', 'Wembley estate club', 'HUDA Office Complex', 'Medisca', 'Pernod Ricard Charitable Dispensary', 'SPAZE BUSINESS PARK', 'Unitech', 'Heera Fuel Station', 'HCG CNG Station', 'Hdfc bank', 'Hdfc bank and atm', 'Hdfc bank', '222', 'Pizza Hut', 'Madison and Pike', 'India', 'Haldiram', 'Raj Restaurant', 'Gurugram University', 'Kamla International', 'Amity Global School', 'St. Angels Sr', 'Manav Rachna School', 'Delhi Public School Primary Section', 'IILM', 'St. Angels Jr', 'Iilm University', 'Manav Rachna Swimming Pool']","Huda plot available 263sq.Yd 18mtr road facing plot located at very prime location of sector-57 gurgaon. Just 20-25min drive from dlf cyber city. All sizes plot available, get the more options at resonable price. Call us now.","[['Feng Shui / Vaastu Compliant', 'Water Storage', 'Rain Water Harvesting']]","[['Environment4 out of 5', 'Lifestyle4 out of 5', 'Connectivity4 out of 5', 'Safety4 out of 5']]",T69710184
Residential land / Plot in Defence Colony,https://www.99acres.com/residential-land-plot-for-sale-in-mrs-16-acres-defence-colony-gurgaon-200-sq-yard-spid-Y69682218,MRS 16 Acres,70 Lac,(167 sq.m.) Plot Area,"A-12, Defence Colony, Gurgaon, Haryana",4 Floors,1,Immediate,"['Iffco chowk metro station', 'Citi bank ATM', 'Punjab national bank ATM', 'State bank of india ATM', 'Hdfc bank ATM', 'Hsbc bank ATM', 'Icici bank ATM', 'Punjab national bank ATM', 'Sangwan Hospital Gurgaon', 'Thukral Hospital', 'Apollo Cradle Hospital Gurgaon', 'Nagpal Nursing Home Gurgaon', 'Privat Hospital', 'Umkal Hospital', 'Community Center Sukhrali', 'Sector-14 Market', 'Catholic syrian bank', 'Karur vysay bank', 'Oriental bank of commerce', 'Standard chartered bank', 'Hdfc bank', 'Icici bank', 'Swagath', 'distillery', 'Walking Street', 'Gung the palace Korean restaurant', 'ADDA', 'Ardor 29', 'Cafe Coffee Day', 'KFC', 'Gravity Space Bar', 'Black Mambaa', 'Tocpao', 'Spaghetti Kitchen & Bar', 'Pizza Hut', 'Bikanervala', ""Hops 'N' Brew"", 'Dhabba', ""Domino's Pizza"", 'Gola Sizzles', 'The Oriental Bloom Chinese and Thai', 'Zura', ""McDonald's"", 'Park Baluchi', 'MoB Ministory of Beer', 'Beer & Whisky Bar', 'Roots', 'Management Development Institute']",This property is defence colony near main road,"[['Feng Shui / Vaastu Compliant', 'Maintenance Staff']]",[''],Y69682218
Residential land / Plot in Maruti Kunj,https://www.99acres.com/residential-land-plot-for-sale-in-mrs-16-acres-maruti-kunj-gurgaon-150-sq-yard-spid-Y69682098,MRS 16 Acres,24.5 Lac,(125 sq.m.) Plot Area,"C-77, Maruti Kunj, Gurgaon, Haryana",,1,Immediate,,This property is good location,"[['Feng Shui / Vaastu Compliant', 'Maintenance Staff']]","[['Environment4 out of 5', 'Lifestyle4 out of 5', 'Connectivity4 out of 5', 'Safety4 out of 5']]",Y69682098
Residential land / Plot in Maruti Kunj,https://www.99acres.com/residential-land-plot-for-sale-in-mrs-16-acres-maruti-kunj-gurgaon-100-sq-yard-spid-Y69682006,MRS 16 Acres,17 Lac,(84 sq.m.) Plot Area,"B-66, Maruti Kunj, Gurgaon, Haryana",4 Floors,1,Immediate,,This property is good location,"[['Feng Shui / Vaastu Compliant', 'Maintenance Staff']]","[['Environment4 out of 5', 'Lifestyle4 out of 5', 'Connectivity4 out of 5', 'Safety4 out of 5']]",Y69682006
Residential land / Plot in Maruti Kunj,https://www.99acres.com/residential-land-plot-for-sale-in-mrs-16-acres-maruti-kunj-gurgaon-100-sq-yard-spid-N69658736,MRS 16 Acres,17 Lac,(84 sq.m.) Plot Area,"A26, Maruti Kunj, Gurgaon, Haryana",4 Floors,1,Immediate,,This property is good location,"[['Feng Shui / Vaastu Compliant', 'Maintenance Staff']]","[['Environment4 out of 5', 'Lifestyle4 out of 5', 'Connectivity4 out of 5', 'Safety4 out of 5']]",N69658736
Residential land / Plot in Maruti Kunj,https://www.99acres.com/residential-land-plot-for-sale-in-mrs-16-acres-maruti-kunj-gurgaon-8-sq-yard-spid-S69339856,MRS 16 Acres,16 Lac,(7 sq.m.) Plot Area,"A-11, Maruti Kunj, Gurgaon, Haryana",4 Floors,1,Immediate,,This property is good location,"[['Feng Shui / Vaastu Compliant', 'Maintenance Staff']]","[['Environment4 out of 5', 'Lifestyle4 out of 5', 'Connectivity4 out of 5', 'Safety4 out of 5']]",S69339856
Residential land / Plot in Maruti Kunj,https://www.99acres.com/residential-land-plot-for-sale-in-mrs-16-acres-maruti-kunj-gurgaon-100-sq-yard-spid-V69310252,MRS 16 Acres,15 Lac,(84 sq.m.) Plot Area,"B-97, Maruti Kunj, Gurgaon, Haryana",,2,Immediate,,This property is good location,"[['Feng Shui / Vaastu Compliant', 'Maintenance Staff']]","[['Environment4 out of 5', 'Lifestyle4 out of 5', 'Connectivity4 out of 5', 'Safety4 out of 5']]",V69310252
Residential land / Plot in Palam Vihar,https://www.99acres.com/residential-land-plot-for-sale-in-ansals-palam-vihar-palam-vihar-gurgaon-520-sq-yard-r8-spid-N56243774,Ansals Palam Vihar,6.49 Crore,(435 sq.m.) Plot Area,"Palam Vihar, Gurgaon, Haryana",,1,Immediate,"['Palam Vihar Vyapar kendra', 'Palam triangle', 'HUDA Sector 23 Market', 'Ram Mandir', 'Metro Hospital and Heart Institute Gurgaon', ""DR KAPOOR'S Dental Care and Implant Centre"", 'Kalyan Hospital Gurgaon', 'Ansals plaza underground car parking', 'Ansals Plaza above ground car parking', 'HUDA sector 23 parking', 'Axis bank', 'Punjab national bank', 'Oriental bank of commerce', 'Big Cinemas', 'Cafe Coffee Day', 'Pizza Hut', ""Domino's Pizza"", 'Moti Mahal', 'Pind Baluchi', ""McDonald's"", 'Om Sweets', 'Chiranjiv Bharati School', 'Masti ki Pathshala Teach India', 'Swiss Cottage school', 'THE NORTHCAP UNIVERSITY', 'Palam vihar railway station', 'Bijwasan railway station']","North facing 520 square yard plot on 12 meter wide road. Excellent location for residential purpose. Park facing. Walking distance from dsoi club, global foyer, ansal plaza mall, columbia asia hospital.",[['Feng Shui / Vaastu Compliant']],"[['Environment5 out of 5', 'Lifestyle5 out of 5', 'Connectivity5 out of 5', 'Safety4 out of 5']]",N56243774
Residential land / Plot in Sector-33 Sohna,https://www.99acres.com/residential-land-plot-for-sale-in-central-park-flower-valley-mikasa-plots-sector-33-sohna-gurgaon-250-sq-yard-spid-Y69255310,Central Park Flower Valley Mikasa Plots,3.64 Crore,(209 sq.m.) Plot Area,"I Block, Sector-33 Sohna, Gurgaon, Haryana",,2,,"['Rapid Metro Sector 55-56', 'CBR Cricket Ground', 'Gurugram Public School', 'Swastik Multispeciality Hospital', 'IGI Airport', 'Lemon Tree Hotel', 'SCC Drive-In Cinema']","Corner, 2 side open 
Many more option available with us","[['Feng Shui / Vaastu Compliant', 'Maintenance Staff', 'Water Storage', 'Rain Water Harvesting']]",[''],Y69255310
Residential land / Plot in DLF Phase 1,https://www.99acres.com/residential-land-plot-for-sale-in-dlf-city-phase-1-gurgaon-402-sq-yard-spid-G69248750,,,(336 sq.m.) Plot Area,"DLF Phase 1, Gurgaon, Haryana",,2,Immediate,"['Guru dronacharya metro station', 'Dlf phase 1 metro station', 'Sikandarpur rmrg metro station', 'Sikanderpur metro station', 'Sikandarpur metro station', 'Dlf phase 2 metro station', 'Hanuman Mandir', 'Icici bank ATM', 'Axis bank ATM', 'Central bank ATM', 'Central bank atm teste 001112', 'Sikka Maternity And Surgical Center', 'Anahat Hospital', 'Divine Look Clinic Centre 1', 'The Dental Lounge', ""St Stephen's Hospital Health Care Facility"", 'Marwah Clinic', 'Durga Poly Clinic', 'Krishna Family Clinic', 'Upkar Clinic', 'Surgi Center Clinic', 'Lord Krishna Hospital', 'Uma Sanjeevani Health Centre And Hospital', 'Cosmodentz Dental Clinic', 'Kailash Nursing Home Gurgaon', ""Dr. Khullar's Dental Clinic"", 'Relief Physiotherapy Clinic', 'RBS Dental Clinic', 'Sidhesh Hospital Gurgaon', 'Shri Ram Memorial Hospital', 'R.N Clinic', 'Dental Cure and Care Centre', 'Religare Wellness', '98.4', 'Guardian', 'Emaar Business Park', 'Axis bank', 'Hsbc bank', 'Kotak mahindra bank', 'Hdfc bank', 'Lord krishna bank', 'Indusind bank', 'Abn amro bank', 'PVR Cinames', 'Food Court', 'Nowhere Brewpub and cafe']",Best plot for builders and end usersThis plot is available for sale in dlf phase 1 plot size 402 sq.Yd 18 mtr road near by golf course road and rapid metro station very amazing location direct access from golf course good investment proposal on very good price pls call for more details.,"[['Feng Shui / Vaastu Compliant', 'Maintenance Staff', 'Water Storage', 'Rain Water Harvesting']]","[['Environment5 out of 5', 'Lifestyle5 out of 5', 'Connectivity5 out of 5', 'Safety5 out of 5']]",G69248750
Residential land / Plot in Maruti Kunj,https://www.99acres.com/residential-land-plot-for-sale-in-mrs-16-acres-maruti-kunj-gurgaon-50-sq-yard-spid-J69207758,MRS 16 Acres,7.5 Lac,(42 sq.m.) Plot Area,"A-33, Maruti Kunj, Gurgaon, Haryana",4 Floors,1,Immediate,,This property is good location,"[['Feng Shui / Vaastu Compliant', 'Maintenance Staff']]","[['Environment4 out of 5', 'Lifestyle4 out of 5', 'Connectivity4 out of 5', 'Safety4 out of 5']]",J69207758
Residential land / Plot in Maruti Kunj,https://www.99acres.com/residential-land-plot-for-sale-in-mrs-16-acres-maruti-kunj-gurgaon-9-sq-yard-spid-A69181144,MRS 16 Acres,12 Lac,(7 sq.m.) Plot Area,"B-44, Maruti Kunj, Gurgaon, Haryana",4 Floors,1,Immediate,,This property is good location,"[['Feng Shui / Vaastu Compliant', 'Maintenance Staff']]","[['Environment4 out of 5', 'Lifestyle4 out of 5', 'Connectivity4 out of 5', 'Safety4 out of 5']]",A69181144
Residential land / Plot in Maruti Kunj,https://www.99acres.com/residential-land-plot-for-sale-in-mrs-16-acres-maruti-kunj-gurgaon-100-sq-yard-spid-L69179598,MRS 16 Acres,15 Lac,(84 sq.m.) Plot Area,"A-87, Maruti Kunj, Gurgaon, Haryana",,1,Immediate,,This property is good location,"[['Feng Shui / Vaastu Compliant', 'Maintenance Staff']]","[['Environment4 out of 5', 'Lifestyle4 out of 5', 'Connectivity4 out of 5', 'Safety4 out of 5']]",L69179598
Residential land / Plot in Maruti Kunj,https://www.99acres.com/residential-land-plot-for-sale-in-mrs-16-acres-maruti-kunj-gurgaon-100-sq-yard-spid-G69105354,MRS 16 Acres,15 Lac,(84 sq.m.) Plot Area,"C-33, Maruti Kunj, Gurgaon, Haryana",,1,Immediate,,This property is good location,"[['Feng Shui / Vaastu Compliant', 'Maintenance Staff']]","[['Environment4 out of 5', 'Lifestyle4 out of 5', 'Connectivity4 out of 5', 'Safety4 out of 5']]",G69105354
Residential land / Plot in C Block Sushant Lok Phase 1,https://www.99acres.com/residential-land-plot-for-sale-in-c-block-sushant-lok-phase-1-gurgaon-270-sq-yard-spid-G69099018,,7.2 Crore,(226 sq.m.) Plot Area,"C Block Sushant Lok Phase 1, Gurgaon, Haryana",,2,Immediate,"['Sector 42-43 metro station', 'Huda city centre metro station', 'Hanuman Mandir', 'New Life Church', 'Hdfc ATM', 'Rbs ATM', 'Hdfc bank ATM', 'Standard chartered ATM', 'Kotak mahindra bank ATM', 'Standard chartered ATM', 'Paras Hospital Gurgaon', 'Gupta', 'Arihant Hospital', 'Dr. Naval Mendiratta', 'Fortis Memorial Research Institute Fortis Vivekanand Hospital', 'Dr. Kutbuddin Akbary', 'Max Hospital', 'Sitaram Bhartia', 'Guardian Pharmacy', 'Chikitsa', 'Bharat petroleum', 'Icici bank', 'Hdfc bank', 'Axis bank', 'PWO house', 'Balaji Vegetarian Paradise', 'The Chicken Boat', 'Sagar Ratna', 'Cafe Tonini', 'Shophouse by Kylin', ""Carl's Jr."", 'Starbucks', 'Naveidyam', 'Starbucks', 'Blue Tokai Coffee Roasters', 'CCD', 'Drunken Monkey', 'Belgian Waffle', 'Nowhere Brewpub and cafe', 'Fat', 'Dighent cafe', 'Clock tower', 'Stones2milestones', 'School of Inspired Leadership SOIL', 'Ncr library', 'Bahrisons library']",This plot is located in sushant lok-1 plot size 270 sq.Yd corner two side open near by rajpath road and huda city center metro a very prime location with gated block lush green area.This is very good option for end user or builders very limited plots available for sale in this pocket pls call for more details.We have many more options available for sale here in 270/360/500 sq.Yd pls call for more details.,"[['Feng Shui / Vaastu Compliant', 'Maintenance Staff', 'Water Storage']]","[['Environment4 out of 5', 'Lifestyle4 out of 5', 'Connectivity4 out of 5', 'Safety4 out of 5']]",G69099018
